ECQB-20231106-1T,Au,1.11,1,1,1,1,1
Duplicado  - ECQB-20231106-1T,Au,1.12,1,1,1,1,1
Duplicado  - ECQB-20231106-1T,Au,1.13,1,1,1,1,1
Duplicado  - ECQB-20231106-1T,Au,1.14,1,1,1,1,1
Duplicado  - ECQB-20231106-1T,Au,1.15,1,1,1,1,1
MR TST CNH,Au,1.16,1,1,1,1,1
Blanco Reactivo,Au,1.17,1,1,1,1,1
ECQB-20231106-1T,Ag,2.21,1,1,1,1,1
Duplicado  - ECQB-20231106-1T,Ag,2.22,1,1,1,1,1
Duplicado  - ECQB-20231106-1T,Ag,2.23,1,1,1,1,1
Duplicado  - ECQB-20231106-1T,Ag,2.24,1,1,1,1,1
Duplicado  - ECQB-20231106-1T,Ag,2.25,1,1,1,1,1
MR TST CNH,Ag,2.26,1,1,1,1,1
Blanco Reactivo,Ag,2.27,1,1,1,1,1
ECQB-20231106-1T,Cu,3.11,1,1,1,1,1
Duplicado  - ECQB-20231106-1T,Cu,3.22,1,1,1,1,1
Duplicado  - ECQB-20231106-1T,Cu,3.33,1,1,1,1,1
Duplicado  - ECQB-20231106-1T,Cu,3.34,1,1,1,1,1
Duplicado  - ECQB-20231106-1T,Cu,3.35,1,1,1,1,1
MR TST CNH,Cu,3.36,1,1,1,1,1
Blanco Reactivo,Cu,3.37,1,1,1,1,1
